date,open,high,low,close,volume
2025-02-10,1358.349976,1360.349976,1347.439941,1351.859985,20839.79
2025-02-11,1355.300049,1356.310059,1336.25,1338.349976,23572.83
2025-02-12,1338.349976,1365.349976,1337.22998,1363.349976,25475.79
2025-02-13,1363.369995,1395.599976,1354.859985,1385.410034,43385.36
2025-02-14,1385.410034,1397.349976,1378.569946,1395.349976,27099.92
2025-02-17,1401.349976,1415.329956,1387.449951,1391.969971,32470.59
2025-02-18,1390.349976,1413.339966,1382.430054,1395.349976,27799.92
2025-02-19,1395.400024,1414.790039,1385.25,1411.349976,32393.31
2025-02-20,1403.349976,1412.319946,1393.73999,1394.349976,23749.73
2025-02-21,1400.349976,1417.079956,1393.359985,1408.560059,36417.83
2025-02-24,1408.349976,1419.869995,1394.349976,1399.420044,34743.73
2025-02-25,1390.359985,1393.73999,1372.349976,1374.349976,28387.43
2025-02-26,1375.800049,1385.310059,1365.349976,1380.359985,26366.09
2025-02-27,1380.369995,1410.25,1374.349976,1405.910034,49762.17
2025-02-28,1405.849976,1448.72998,1402.349976,1421.140015,56128.95
2025-03-03,1422.949951,1441.339966,1401.849976,1407.369995,31595.66
2025-03-04,1405.349976,1406.349976,1385.560059,1390.459961,25211.21
2025-03-05,1392.349976,1394.349976,1380.449951,1386.719971,24605.22
2025-03-06,1394.349976,1430.550049,1392.430054,1426.329956,42167.64
2025-03-07,1423.349976,1448.709961,1423.349976,1441.349976,37991.35
2025-03-10,1440.160034,1447.22998,1426.48999,1443.25,31369.07
2025-03-11,1437.349976,1469.030029,1432.349976,1469.030029,39775.6
2025-03-12,1467.310059,1470.030029,1446.699951,1462.930054,29603.96
2025-03-13,1464.349976,1475.849976,1451.22998,1458.119995,25724.39
2025-03-14,1468.01001,1548.359985,1461.349976,1548.359985,92913.15
2025-03-17,1577.349976,1578.339966,1547.22998,1558.209961,54689.13
2025-03-18,1565.390015,1572.349976,1542.050049,1544.349976,31613.45
2025-03-19,1544.640015,1568.349976,1543.349976,1556.060059,27389.55
2025-03-20,1556.060059,1557.949951,1515.420044,1524.349976,36736.77
2025-03-21,1519.349976,1532.550049,1489.180054,1494.099976,33614.3
2025-03-24,1490.349976,1510.01001,1482.72998,1503.349976,25565.85
2025-03-25,1508.349976,1513.150024,1487.01001,1495.849976,17674.38
2025-03-26,1493.119995,1502.930054,1491.349976,1496.349976,14323.56
2025-03-27,1496.349976,1518.599976,1493.72998,1509.349976,17955.63
2025-03-28,1511.280029,1513.349976,1496.349976,1505.560059,16227.89
2025-03-31,1501.329956,1507.310059,1480.410034,1481.349976,21084.94
2025-04-01,1484.349976,1490.23999,1472.560059,1476.369995,18556.44
2025-04-02,1478.349976,1488.150024,1465.849976,1469.369995,21674.01
2025-04-03,1450.349976,1506.349976,1449.359985,1489.22998,35480.5
2025-04-07,1440.359985,1457.199951,1382.349976,1420.349976,101952.67
2025-04-08,1433.349976,1465.349976,1415.349976,1465.349976,73876.49
2025-04-09,1445.369995,1477.150024,1440.900024,1461.390015,55630.04
2025-04-10,1471.339966,1475.349976,1448.349976,1469.349976,38620.21
2025-04-11,1500.319946,1500.319946,1465.349976,1489.329956,32634.23
2025-04-14,1481.319946,1486.349976,1471.880005,1472.339966,21711.44
2025-04-15,1472.349976,1485.349976,1465.349976,1478.349976,21489.28
2025-04-16,1472.349976,1496.349976,1457.349976,1479.52002,31156.05
2025-04-17,1474.349976,1496.849976,1470.339966,1490.349976,23846.05
2025-04-18,1486.349976,1495.349976,1476.349976,1486.290039,20298.48
2025-04-21,1485.849976,1485.849976,1471.349976,1471.349976,18057.03
2025-04-22,1470.349976,1476.650024,1463.560059,1469.150024,18432.14
2025-04-23,1479.349976,1479.569946,1465.349976,1472.349976,18668.76
2025-04-24,1472.349976,1481.030029,1469.329956,1472.599976,14871.81
2025-04-25,1477.449951,1481.550049,1470.349976,1470.349976,14764.9
2025-04-28,1472.349976,1475.349976,1466.949951,1470.349976,14659.72
2025-04-29,1470.349976,1472.890015,1452.369995,1464.349976,18921.8
2025-04-30,1470.339966,1487.01001,1466.650024,1467.349976,25754.25
2025-05-06,1479.349976,1479.349976,1464.680054,1470.550049,18300.26
2025-05-07,1490.349976,1490.349976,1470.550049,1475.349976,27462.21
2025-05-08,1473.349976,1513.130005,1470.180054,1498.540039,33481.06
2025-05-09,1499.339966,1517.800049,1495.400024,1511.530029,23671.9
2025-05-12,1518.349976,1539.280029,1516.959961,1524.849976,24735.33
2025-05-13,1529.27002,1529.27002,1505.459961,1510.650024,21258.29
2025-05-14,1510.349976,1565.349976,1508.530029,1555.339966,39460.12
2025-05-15,1555.150024,1563.939941,1544.47998,1552.359985,24732.85
2025-05-16,1554.339966,1557.339966,1534.47998,1534.47998,22935.22
2025-05-19,1516.349976,1520.349976,1494.22998,1499.329956,38062.83
2025-05-20,1500.349976,1515.150024,1495.449951,1506.349976,19521.53
2025-05-21,1505.349976,1516.290039,1501.319946,1501.319946,19794.64
2025-05-22,1501.339966,1505.339966,1490.449951,1500.349976,15090.24
2025-05-23,1495.550049,1508.25,1492.01001,1492.949951,21537.0
2025-05-26,1490.349976,1494.97998,1465.349976,1470.849976,27086.53
2025-05-27,1471.349976,1478.949951,1463.859985,1464.25,17752.13
2025-05-28,1464.339966,1466.810059,1453.349976,1457.349976,16265.68
2025-05-29,1460.349976,1475.349976,1452.349976,1460.349976,21859.58
2025-05-30,1460.5,1465.349976,1435.589966,1442.349976,31239.18
2025-06-03,1428.359985,1439.349976,1425.369995,1429.349976,28979.18
2025-06-04,1430.849976,1443.349976,1429.569946,1430.310059,23008.09
2025-06-05,1434.349976,1436.349976,1422.550049,1434.349976,23213.66
2025-06-06,1434.150024,1439.319946,1423.349976,1426.73999,25023.07
2025-06-09,1425.369995,1429.050049,1406.030029,1406.459961,44958.67
2025-06-10,1406.349976,1412.349976,1395.150024,1395.359985,30492.2
2025-06-11,1397.150024,1414.349976,1396.449951,1400.349976,30892.82
2025-06-12,1400.349976,1404.219971,1374.449951,1379.349976,49903.61
2025-06-13,1364.76001,1370.319946,1345.410034,1347.300049,59113.25
2025-06-16,1321.550049,1345.390015,1321.530029,1342.640015,42887.87
2025-06-17,1340.349976,1347.349976,1332.530029,1347.349976,27231.51
2025-06-18,1360.349976,1363.790039,1341.359985,1345.349976,30760.99
2025-06-19,1346.349976,1354.02002,1337.530029,1346.349976,24500.72
2025-06-20,1343.930054,1361.48999,1340.550049,1349.01001,34815.81
2025-06-23,1340.349976,1353.349976,1325.530029,1340.349976,26723.31
2025-06-24,1343.699951,1372.030029,1343.699951,1357.550049,36311.51
2025-06-25,1359.459961,1369.550049,1340.859985,1356.209961,41050.07
